t,tau_jo_kc,tau_jn_kc,tau_jo_ka,tau_jn_ka,A_period_cost,B_period_cost,C_period_cost,A_cum_discounted,B_cum_discounted,C_cum_discounted,A_period_demand,B_period_demand,C_period_demand,A_cum_demand,B_cum_demand,C_cum_demand,B_u,C_u,C_v,B_a_M2_pre,C_a_M2_pre,B_age_M2_pre,C_age_M2_pre,A_cap_M1_pre,A_cap_M2_pre,A_y_M1,A_y_M2,B_cap_M1_pre,B_cap_M2_pre,B_y_M1,B_y_M2,C_cap_M1_pre,C_cap_M2_pre,C_y_M1,C_y_M2
1,1.0,0.025,0.047,0.074,541.4215443707687,541.4215443707687,541.4215443707687,541.4215443707687,541.4215443707687,541.4215443707687,52.51846134488967,52.51846134488967,52.51846134488967,52.51846134488967,52.51846134488967,52.51846134488967,1,1,0,0,0,0,0,70.92,0.0,52.51846134488967,-0.0,70.92,0.0,52.51846134488967,-0.0,70.92,0.0,52.51846134488967,-0.0
2,1.1,0.025,0.065,0.106,578.9908284773375,3135.4446903784947,3135.4446903784947,1118.2701067827402,3665.265089394863,3665.265089394863,54.56328953001234,55.62129930116426,55.62129930116426,107.08175087490201,108.13976064605393,108.13976064605393,0,0,0,1,1,1,1,70.92,0.0,54.56328953001234,-0.0,70.92,12.810247333504934,42.811051967659324,12.810247333504934,70.92,12.810247333504934,42.811051967659324,12.810247333504934
3,1.2,0.025,0.104,0.183,620.3753531384542,593.5700943856203,593.5700943856203,1734.0631752465542,4254.450891056622,4254.450891056622,56.71672330216566,58.62850238571791,58.62850238571791,163.79847417706767,166.76826303177182,166.76826303177182,0,0,0,1,1,2,2,70.92,0.0,56.71672330216566,-0.0,70.92,23.38263244492381,35.245869940794094,23.38263244492381,70.92,23.38263244492381,35.245869940794094,23.38263244492381
4,2.0,0.35,0.181,0.24,769.6277889654884,642.7276316540737,642.7276316540737,2495.179665383862,4890.070610267085,4890.070610267085,58.25445220000396,59.33512125594001,59.33512125594001,222.05292637707163,226.10338428771183,226.10338428771183,0,0,0,1,1,3,3,70.92,0.0,58.25445220000396,-0.0,70.92,32.10809449371701,27.227026762222994,32.10809449371701,70.92,32.10809449371701,27.227026762222994,32.10809449371701
5,1.1,0.25,0.139,0.205,687.7659120129081,656.4646184695433,656.4646184695433,3172.822995770263,5536.873341502463,5536.873341502463,64.22554399556851,66.149754490047,66.149754490047,286.27847037264013,292.25313877775886,292.25313877775886,0,0,0,1,1,4,4,70.92,0.0,64.22554399556851,-0.0,70.92,39.30927825334955,26.84047623669745,39.30927825334955,70.92,39.30927825334955,26.84047623669745,39.30927825334955
6,1.1,0.1,0.101,0.222,663.7252810536312,596.528763506039,596.528763506039,3824.359887540115,6122.447686070231,6122.447686070231,62.37492288949178,64.85221144320971,64.85221144320971,348.6533932621319,357.1053502209686,357.1053502209686,0,0,0,1,1,5,5,70.92,0.0,62.37492288949178,-0.0,70.92,45.25246467144503,21.965508212445396,42.88670323076431,70.92,45.25246467144503,21.965508212445396,42.88670323076431
7,1.1,0.2,0.05,0.1,624.4717679499513,578.0360557969482,578.0360557969482,4435.095986644701,6687.769457169933,6687.769457169933,59.16911881784749,61.403619467089484,61.403619467089484,407.8225120799794,418.5089696880581,418.5089696880581,0,0,0,1,1,6,6,70.92,0.0,59.16911881784749,-0.0,70.92,50.157417243025726,20.752729435168252,40.650890031921236,70.92,50.157417243025726,20.752729435168252,40.650890031921236
8,1.1,0.2,0.093,0.165,598.793839188774,553.0908059958948,553.0908059958948,5018.5521549837795,7226.693242436539,7226.693242436539,56.28398364727922,58.49937495870561,58.49937495870561,464.1064957272586,477.0083446467637,477.0083446467637,0,0,0,1,1,7,7,70.92,0.0,56.28398364727922,-0.0,70.92,54.2055082899772,19.379664899383982,39.119710059321626,70.92,54.2055082899772,19.379664899383982,39.119710059321626
9,1.1,0.2,0.161,0.221,574.3251613170214,529.4478782748154,529.4478782748154,5576.095820246662,7740.670916585583,7740.670916585583,53.35219715105376,55.557792674783144,55.557792674783144,517.4586928783124,532.5661373215469,532.5661373215469,0,0,0,1,1,8,8,70.92,0.0,53.35219715105376,-0.0,70.92,57.546425635305944,17.997366615451032,37.560426059332116,70.92,57.546425635305944,17.997366615451032,37.560426059332116
10,1.1,0.2,0.235,0.278,562.4878795425392,516.883844923069,516.883844923069,6120.127689858113,8240.59508340345,8240.59508340345,51.59989684254391,53.82947577845695,53.82947577845695,569.0585897208563,586.3956131000039,586.3956131000039,0,0,0,1,1,9,9,70.92,0.0,51.59989684254391,-0.0,70.92,60.30370766746875,17.031022653920886,36.79845312453607,70.92,60.30370766746875,17.031022653920886,36.79845312453607
