level_shift,span,tail_anchor,jo_kc_tail,total_A,total_B,total_C,gap_A_minus_B,gap_A_minus_C,gap_B_minus_C,demand_A,demand_B,demand_C,activation_B,activation_C,withdrawal_C
-1.0,0.05,1.14,"[0.0, 0.027579230769230773, 0.0, 0.04752923076923077, 0.0, 0.00762923076923077, 0.0, 0.03612923076923077, 0.0, 0.0, 0.01617923076923077, 0.0, 0.05322923076923077, 0.0, 0.019029230769230774, 0.0, 0.027579230769230773, 0.0, 0.04752923076923077, 0.0, 0.00762923076923077, 0.0, 0.03612923076923077, 0.0, 0.0, 0.01617923076923077, 0.0, 0.05322923076923077, 0.0, 0.019029230769230774, 0.0, 0.027579230769230773, 0.0, 0.04752923076923077, 0.0, 0.00762923076923077, 0.0, 0.03612923076923077, 0.0, 0.0, 0.01617923076923077, 0.0, 0.05322923076923077, 0.0, 0.019029230769230774, 0.0, 0.027579230769230773, 0.0, 0.04752923076923077, 0.0, 0.00762923076923077, 0.0, 0.03612923076923077, 0.0, 0.0, 0.01617923076923077, 0.0, 0.05322923076923077, 0.0, 0.019029230769230774, 0.0, 0.027579230769230773, 0.0, 0.04752923076923077, 0.0]",35374.15970583977,35374.15970583977,37837.719963868076,0.0,-2463.5602580283085,-2463.5602580283085,4958.826578280854,4958.826578280854,4901.340484601655,0,1,14
-0.95,0.05,1.14,"[0.05322923076923081, 0.08457923076923081, 0.03327923076923082, 0.10452923076923082, 0.007629230769230815, 0.06462923076923081, 0.04752923076923082, 0.09312923076923081, 0.019029230769230816, 0.05322923076923081, 0.07317923076923082, 0.038979230769230815, 0.11022923076923082, 0.0, 0.07602923076923082, 0.05322923076923081, 0.08457923076923081, 0.03327923076923082, 0.10452923076923082, 0.007629230769230815, 0.06462923076923081, 0.04752923076923082, 0.09312923076923081, 0.019029230769230816, 0.05322923076923081, 0.07317923076923082, 0.038979230769230815, 0.11022923076923082, 0.0, 0.07602923076923082, 0.05322923076923081, 0.08457923076923081, 0.03327923076923082, 0.10452923076923082, 0.007629230769230815, 0.06462923076923081, 0.04752923076923082, 0.09312923076923081, 0.019029230769230816, 0.05322923076923081, 0.07317923076923082, 0.038979230769230815, 0.11022923076923082, 0.0, 0.07602923076923082, 0.05322923076923081, 0.08457923076923081, 0.03327923076923082, 0.10452923076923082, 0.007629230769230815, 0.06462923076923081, 0.04752923076923082, 0.09312923076923081, 0.019029230769230816, 0.05322923076923081, 0.07317923076923082, 0.038979230769230815, 0.11022923076923082, 0.0, 0.07602923076923082, 0.05322923076923081, 0.08457923076923081, 0.03327923076923082, 0.10452923076923082, 0.007629230769230815]",35739.28266902918,35739.28266902918,37837.719963868076,0.0,-2098.437294838899,-2098.437294838899,4946.875074028505,4946.875074028505,4901.340484601655,0,1,14
-0.9,0.05,1.14,"[0.11022923076923075, 0.14157923076923074, 0.09027923076923074, 0.16152923076923073, 0.06462923076923073, 0.12162923076923074, 0.10452923076923074, 0.15012923076923074, 0.07602923076923072, 0.11022923076923075, 0.13017923076923074, 0.09597923076923075, 0.16722923076923074, 0.05322923076923073, 0.13302923076923073, 0.11022923076923075, 0.14157923076923074, 0.09027923076923074, 0.16152923076923073, 0.06462923076923073, 0.12162923076923074, 0.10452923076923074, 0.15012923076923074, 0.07602923076923072, 0.11022923076923075, 0.13017923076923074, 0.09597923076923075, 0.16722923076923074, 0.05322923076923073, 0.13302923076923073, 0.11022923076923075, 0.14157923076923074, 0.09027923076923074, 0.16152923076923073, 0.06462923076923073, 0.12162923076923074, 0.10452923076923074, 0.15012923076923074, 0.07602923076923072, 0.11022923076923075, 0.13017923076923074, 0.09597923076923075, 0.16722923076923074, 0.05322923076923073, 0.13302923076923073, 0.11022923076923075, 0.14157923076923074, 0.09027923076923074, 0.16152923076923073, 0.06462923076923073, 0.12162923076923074, 0.10452923076923074, 0.15012923076923074, 0.07602923076923072, 0.11022923076923075, 0.13017923076923074, 0.09597923076923075, 0.16722923076923074, 0.05322923076923073, 0.13302923076923073, 0.11022923076923075, 0.14157923076923074, 0.09027923076923074, 0.16152923076923073, 0.06462923076923073]",36181.01675649972,36181.01675649972,37837.719963868076,0.0,-1656.7032073683586,-1656.7032073683586,4926.3888421419615,4926.3888421419615,4901.340484601655,0,1,14
-0.85,0.05,1.14,"[0.16722923076923077, 0.19857923076923079, 0.14727923076923077, 0.21852923076923078, 0.12162923076923078, 0.1786292307692308, 0.16152923076923079, 0.20712923076923076, 0.13302923076923076, 0.16722923076923077, 0.1871792307692308, 0.15297923076923078, 0.2242292307692308, 0.11022923076923079, 0.19002923076923078, 0.16722923076923077, 0.19857923076923079, 0.14727923076923077, 0.21852923076923078, 0.12162923076923078, 0.1786292307692308, 0.16152923076923079, 0.20712923076923076, 0.13302923076923076, 0.16722923076923077, 0.1871792307692308, 0.15297923076923078, 0.2242292307692308, 0.11022923076923079, 0.19002923076923078, 0.16722923076923077, 0.19857923076923079, 0.14727923076923077, 0.21852923076923078, 0.12162923076923078, 0.1786292307692308, 0.16152923076923079, 0.20712923076923076, 0.13302923076923076, 0.16722923076923077, 0.1871792307692308, 0.15297923076923078, 0.2242292307692308, 0.11022923076923079, 0.19002923076923078, 0.16722923076923077, 0.19857923076923079, 0.14727923076923077, 0.21852923076923078, 0.12162923076923078, 0.1786292307692308, 0.16152923076923079, 0.20712923076923076, 0.13302923076923076, 0.16722923076923077, 0.1871792307692308, 0.15297923076923078, 0.2242292307692308, 0.11022923076923079, 0.19002923076923078, 0.16722923076923077, 0.19857923076923079, 0.14727923076923077, 0.21852923076923078, 0.12162923076923078]",36608.888842479995,36608.888842479995,37837.719963868076,0.0,-1228.8311213880806,-1228.8311213880806,4904.725778978879,4904.725778978879,4901.340484601655,0,1,14
-0.8,0.05,1.14,"[0.22422923076923068, 0.2555792307692307, 0.2042792307692307, 0.2755292307692307, 0.17862923076923068, 0.2356292307692307, 0.21852923076923073, 0.26412923076923067, 0.1900292307692307, 0.22422923076923068, 0.2441792307692307, 0.2099792307692307, 0.2812292307692307, 0.1672292307692307, 0.2470292307692307, 0.22422923076923068, 0.2555792307692307, 0.2042792307692307, 0.2755292307692307, 0.17862923076923068, 0.2356292307692307, 0.21852923076923073, 0.26412923076923067, 0.1900292307692307, 0.22422923076923068, 0.2441792307692307, 0.2099792307692307, 0.2812292307692307, 0.1672292307692307, 0.2470292307692307, 0.22422923076923068, 0.2555792307692307, 0.2042792307692307, 0.2755292307692307, 0.17862923076923068, 0.2356292307692307, 0.21852923076923073, 0.26412923076923067, 0.1900292307692307, 0.22422923076923068, 0.2441792307692307, 0.2099792307692307, 0.2812292307692307, 0.1672292307692307, 0.2470292307692307, 0.22422923076923068, 0.2555792307692307, 0.2042792307692307, 0.2755292307692307, 0.17862923076923068, 0.2356292307692307, 0.21852923076923073, 0.26412923076923067, 0.1900292307692307, 0.22422923076923068, 0.2441792307692307, 0.2099792307692307, 0.2812292307692307, 0.1672292307692307, 0.2470292307692307, 0.22422923076923068, 0.2555792307692307, 0.2042792307692307, 0.2755292307692307, 0.17862923076923068]",37029.00738528575,37029.00738528575,37837.719963868076,0.0,-808.7125785823227,-808.7125785823227,4883.2306929938095,4883.2306929938095,4901.340484601655,0,1,14
-0.75,0.05,1.14,"[0.28122923076923073, 0.3125792307692307, 0.26127923076923076, 0.33252923076923074, 0.23562923076923073, 0.29262923076923075, 0.27552923076923075, 0.3211292307692307, 0.24702923076923075, 0.28122923076923073, 0.3011792307692307, 0.26697923076923075, 0.3382292307692307, 0.22422923076923076, 0.3040292307692307, 0.28122923076923073, 0.3125792307692307, 0.26127923076923076, 0.33252923076923074, 0.23562923076923073, 0.29262923076923075, 0.27552923076923075, 0.3211292307692307, 0.24702923076923075, 0.28122923076923073, 0.3011792307692307, 0.26697923076923075, 0.3382292307692307, 0.22422923076923076, 0.3040292307692307, 0.28122923076923073, 0.3125792307692307, 0.26127923076923076, 0.33252923076923074, 0.23562923076923073, 0.29262923076923075, 0.27552923076923075, 0.3211292307692307, 0.24702923076923075, 0.28122923076923073, 0.3011792307692307, 0.26697923076923075, 0.3382292307692307, 0.22422923076923076, 0.3040292307692307, 0.28122923076923073, 0.3125792307692307, 0.26127923076923076, 0.33252923076923074, 0.23562923076923073, 0.29262923076923075, 0.27552923076923075, 0.3211292307692307, 0.24702923076923075, 0.28122923076923073, 0.3011792307692307, 0.26697923076923075, 0.3382292307692307, 0.22422923076923076, 0.3040292307692307, 0.28122923076923073, 0.3125792307692307, 0.26127923076923076, 0.33252923076923074, 0.23562923076923073]",37441.4662159689,37377.540475852875,37837.719963868076,63.925740116028464,-396.2537478991726,-460.17948801520106,4861.9021866989115,4898.2873518778015,4901.340484601655,1,1,14
-0.7,0.05,1.14,"[0.33822923076923084, 0.36957923076923077, 0.3182792307692308, 0.3895292307692308, 0.29262923076923075, 0.3496292307692308, 0.3325292307692308, 0.3781292307692308, 0.3040292307692308, 0.33822923076923084, 0.35817923076923075, 0.3239792307692308, 0.3952292307692308, 0.2812292307692308, 0.36102923076923077, 0.33822923076923084, 0.36957923076923077, 0.3182792307692308, 0.3895292307692308, 0.29262923076923075, 0.3496292307692308, 0.3325292307692308, 0.3781292307692308, 0.3040292307692308, 0.33822923076923084, 0.35817923076923075, 0.3239792307692308, 0.3952292307692308, 0.2812292307692308, 0.36102923076923077, 0.33822923076923084, 0.36957923076923077, 0.3182792307692308, 0.3895292307692308, 0.29262923076923075, 0.3496292307692308, 0.3325292307692308, 0.3781292307692308, 0.3040292307692308, 0.33822923076923084, 0.35817923076923075, 0.3239792307692308, 0.3952292307692308, 0.2812292307692308, 0.36102923076923077, 0.33822923076923084, 0.36957923076923077, 0.3182792307692308, 0.3895292307692308, 0.29262923076923075, 0.3496292307692308, 0.3325292307692308, 0.3781292307692308, 0.3040292307692308, 0.33822923076923084, 0.35817923076923075, 0.3239792307692308, 0.3952292307692308, 0.2812292307692308, 0.36102923076923077, 0.33822923076923084, 0.36957923076923077, 0.3182792307692308, 0.3895292307692308, 0.29262923076923075]",37846.35884473748,37292.25963097026,37781.07413218591,554.099213767222,65.2847125515691,-488.81450121565285,4840.738972903292,4888.178426975491,4901.340484601655,1,1,14
-0.65,0.05,1.14,"[0.3952292307692307, 0.4265792307692307, 0.3752792307692307, 0.44652923076923073, 0.3496292307692307, 0.40662923076923074, 0.38952923076923074, 0.4351292307692307, 0.3610292307692307, 0.3952292307692307, 0.4151792307692307, 0.38097923076923074, 0.4522292307692307, 0.33822923076923067, 0.4180292307692307, 0.3952292307692307, 0.4265792307692307, 0.3752792307692307, 0.44652923076923073, 0.3496292307692307, 0.40662923076923074, 0.38952923076923074, 0.4351292307692307, 0.3610292307692307, 0.3952292307692307, 0.4151792307692307, 0.38097923076923074, 0.4522292307692307, 0.33822923076923067, 0.4180292307692307, 0.3952292307692307, 0.4265792307692307, 0.3752792307692307, 0.44652923076923073, 0.3496292307692307, 0.40662923076923074, 0.38952923076923074, 0.4351292307692307, 0.3610292307692307, 0.3952292307692307, 0.4151792307692307, 0.38097923076923074, 0.4522292307692307, 0.33822923076923067, 0.4180292307692307, 0.3952292307692307, 0.4265792307692307, 0.3752792307692307, 0.44652923076923073, 0.3496292307692307, 0.40662923076923074, 0.38952923076923074, 0.4351292307692307, 0.3610292307692307, 0.3952292307692307, 0.4151792307692307, 0.38097923076923074, 0.4522292307692307, 0.33822923076923067, 0.4180292307692307, 0.3952292307692307, 0.4265792307692307, 0.3752792307692307, 0.44652923076923073, 0.3496292307692307]",38243.7785883246,37163.359988401935,37721.56468255368,1080.4185999226684,522.213905770921,-558.2046941517474,4819.739877288339,4878.400678445439,4901.340484601655,1,1,14
-0.6,0.05,1.14,"[0.45222923076923077, 0.48357923076923076, 0.43227923076923075, 0.5035292307692307, 0.40662923076923074, 0.4636292307692308, 0.4465292307692308, 0.49212923076923076, 0.41802923076923076, 0.45222923076923077, 0.47217923076923074, 0.4379792307692308, 0.5092292307692308, 0.3952292307692307, 0.47502923076923076, 0.45222923076923077, 0.48357923076923076, 0.43227923076923075, 0.5035292307692307, 0.40662923076923074, 0.4636292307692308, 0.4465292307692308, 0.49212923076923076, 0.41802923076923076, 0.45222923076923077, 0.47217923076923074, 0.4379792307692308, 0.5092292307692308, 0.3952292307692307, 0.47502923076923076, 0.45222923076923077, 0.48357923076923076, 0.43227923076923075, 0.5035292307692307, 0.40662923076923074, 0.4636292307692308, 0.4465292307692308, 0.49212923076923076, 0.41802923076923076, 0.45222923076923077, 0.47217923076923074, 0.4379792307692308, 0.5092292307692308, 0.3952292307692307, 0.47502923076923076, 0.45222923076923077, 0.48357923076923076, 0.43227923076923075, 0.5035292307692307, 0.40662923076923074, 0.4636292307692308, 0.4465292307692308, 0.49212923076923076, 0.41802923076923076, 0.45222923076923077, 0.47217923076923074, 0.4379792307692308, 0.5092292307692308, 0.3952292307692307, 0.47502923076923076, 0.45222923076923077, 0.48357923076923076, 0.43227923076923075, 0.5035292307692307, 0.40662923076923074]",38633.81687949588,37037.1309800521,37662.05523292145,1596.685899443779,971.7616465744286,-624.9242528693503,4798.903611016771,4868.93821118359,4901.340484601655,1,1,14
-0.5,0.05,1.14,"[0.5662292307692307, 0.5975792307692308, 0.5462792307692307, 0.6175292307692307, 0.5206292307692307, 0.5776292307692307, 0.5605292307692308, 0.6061292307692308, 0.5320292307692307, 0.5662292307692307, 0.5861792307692307, 0.5519792307692307, 0.6232292307692308, 0.5092292307692307, 0.5890292307692307, 0.5662292307692307, 0.5975792307692308, 0.5462792307692307, 0.6175292307692307, 0.5206292307692307, 0.5776292307692307, 0.5605292307692308, 0.6061292307692308, 0.5320292307692307, 0.5662292307692307, 0.5861792307692307, 0.5519792307692307, 0.6232292307692308, 0.5092292307692307, 0.5890292307692307, 0.5662292307692307, 0.5975792307692308, 0.5462792307692307, 0.6175292307692307, 0.5206292307692307, 0.5776292307692307, 0.5605292307692308, 0.6061292307692308, 0.5320292307692307, 0.5662292307692307, 0.5861792307692307, 0.5519792307692307, 0.6232292307692308, 0.5092292307692307, 0.5890292307692307, 0.5662292307692307, 0.5975792307692308, 0.5462792307692307, 0.6175292307692307, 0.5206292307692307, 0.5776292307692307, 0.5605292307692308, 0.6061292307692308, 0.5320292307692307, 0.5662292307692307, 0.5861792307692307, 0.5519792307692307, 0.6232292307692308, 0.5092292307692307, 0.5890292307692307, 0.5662292307692307, 0.5975792307692308, 0.5462792307692307, 0.6175292307692307, 0.5206292307692307]",39392.10821307386,36792.184137237185,37543.03633365698,2599.9240758366723,1849.0718794168788,-750.8521964197935,4757.714252861449,4850.900193661807,4901.340484601655,1,1,14
