t2_tariff,path_seed,exp4_c_out_override,jo_kc_series,total_A,total_B,total_C,gap_A_minus_B,gap_A_minus_C,gap_B_minus_C,demand_A,demand_B,demand_C,activation_B,activation_C,withdrawal_C
0.05,20260380,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.05, 0.051, 0.095, 0.06, 0.132, 0.223, 0.25, 0.168, 0.143, 0.191, 0.181, 0.158, 0.127, 0.201, 0.249, 0.192, 0.162, 0.173, 0.27, 0.176, 0.162, 0.153, 0.121, 0.15, 0.174, 0.157, 0.094, 0.036, 0.059]",17096.155848430375,17096.155848430375,18150.11958088172,0.0,-1053.963732451346,-1053.963732451346,1878.1982806221665,1878.1982806221665,1865.6023072043113,0,1,19
0.1,20260430,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.1, 0.07, 0.087, 0.116, 0.043, 0.046, 0.136, 0.102, 0.068, 0.147, 0.122, 0.217, 0.237, 0.332, 0.244, 0.276, 0.187, 0.218, 0.182, 0.163, 0.261, 0.266, 0.247, 0.156, 0.14, 0.11, 0.084, 0.136, 0.071]",17120.446278122214,17120.446278122214,18140.555186805366,0.0,-1020.1089086831525,-1020.1089086831525,1876.9454348152715,1876.9454348152715,1865.8508327212123,0,1,19
0.15,20260480,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.15, 0.225, 0.214, 0.19, 0.28, 0.183, 0.185, 0.224, 0.285, 0.225, 0.246, 0.147, 0.176, 0.249, 0.197, 0.196, 0.168, 0.086, 0.107, 0.112, 0.15, 0.156, 0.065, 0.043, 0.016, 0.103, 0.078, 0.157, 0.141]",17157.932692961618,17157.932692961618,18272.628652105843,0.0,-1114.6959591442246,-1114.6959591442246,1875.5714682989737,1875.5714682989737,1862.177928003278,0,1,19
0.2,20260530,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.2, 0.141, 0.177, 0.25, 0.228, 0.247, 0.227, 0.278, 0.201, 0.13, 0.039, 0.063, 0.016, 0.034, 0.044, 0.123, 0.204, 0.243, 0.199, 0.124, 0.128, 0.19, 0.262, 0.348, 0.318, 0.329, 0.3, 0.255, 0.336]",17259.683197825892,17259.683197825892,18156.601186865417,0.0,-896.9179890395244,-896.9179890395244,1870.469780393102,1870.469780393102,1864.85103901795,0,1,19
0.25,20260580,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.25, 0.262, 0.167, 0.14, 0.239, 0.182, 0.108, 0.094, 0.051, 0.145, 0.095, 0.166, 0.125, 0.181, 0.209, 0.154, 0.115, 0.149, 0.143, 0.061, 0.106, 0.116, 0.147, 0.127, 0.109, 0.162, 0.156, 0.079, 0.075]",17073.725293228883,17073.725293228883,18154.63229858051,0.0,-1080.9070053516261,-1080.9070053516261,1879.3622353753367,1879.3622353753367,1864.7906114432308,0,1,19
0.3,20260630,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.3, 0.273, 0.36, 0.34, 0.315, 0.275, 0.325, 0.405, 0.376, 0.323, 0.263, 0.168, 0.137, 0.049, 0.098, 0.048, 0.116, 0.138, 0.14, 0.127, 0.066, 0.019, 0.019, 0.067, 0.106, 0.062, 0.127, 0.152, 0.095]",17223.339128355285,17223.339128355285,18367.89007676625,0.0,-1144.5509484109643,-1144.5509484109643,1872.6867111977444,1872.6867111977444,1859.4893929484608,0,1,19
0.35,20260680,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.35, 0.322, 0.41, 0.448, 0.514, 0.481, 0.426, 0.403, 0.33, 0.296, 0.273, 0.31, 0.283, 0.203, 0.296, 0.239, 0.155, 0.065, 0.135, 0.138, 0.052, 0.125, 0.085, 0.083, 0.061, 0.063, 0.105, 0.07, 0.089]",17421.695254790917,17421.695254790917,18588.322715406037,0.0,-1166.62746061512,-1166.62746061512,1863.8133820340595,1863.8133820340595,1854.1621120472787,0,1,19
0.4,20260730,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.4, 0.44, 0.531, 0.482, 0.416, 0.463, 0.443, 0.462, 0.396, 0.362, 0.38, 0.374, 0.345, 0.398, 0.347, 0.306, 0.278, 0.223, 0.264, 0.213, 0.252, 0.247, 0.226, 0.21, 0.276, 0.255, 0.33, 0.327, 0.359]",17819.768617411195,17819.768617411195,18772.553443974313,0.0,-952.7848265631183,-952.7848265631183,1845.242927365676,1845.242927365676,1849.941722363884,0,1,19
0.45,20260780,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.45, 0.394, 0.463, 0.408, 0.438, 0.371, 0.278, 0.349, 0.359, 0.343, 0.355, 0.317, 0.307, 0.388, 0.313, 0.401, 0.429, 0.36, 0.307, 0.309, 0.293, 0.321, 0.239, 0.142, 0.125, 0.215, 0.276, 0.248, 0.234]",17750.82985022788,17750.82985022788,18729.848045754035,0.0,-979.0181955261542,-979.0181955261542,1848.454587875121,1848.454587875121,1851.00727702834,0,1,19
0.5,20260830,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.5, 0.411, 0.356, 0.277, 0.313, 0.395, 0.403, 0.421, 0.478, 0.435, 0.513, 0.571, 0.65, 0.592, 0.682, 0.693, 0.697, 0.754, 0.758, 0.85, 0.869, 0.938, 0.9, 0.934, 0.867, 0.9, 0.986, 1.074, 1.161]",18841.90164612721,18214.545027122524,18179.911354737884,627.3566190046877,661.9902913893275,34.633672384639794,1793.6325332670428,1825.9668228444584,1844.431790155094,1,1,19
0.55,20260880,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.55, 0.579, 0.579, 0.663, 0.728, 0.714, 0.706, 0.668, 0.755, 0.846, 0.927, 0.834, 0.792, 0.857, 0.865, 0.78, 0.835, 0.932, 0.864, 0.848, 0.894, 0.927, 0.861, 0.853, 0.787, 0.703, 0.719, 0.676, 0.644]",19204.98255683389,19148.360280216417,19123.365173155256,56.62227661747238,81.6173836786329,24.995107061160525,1777.0880513829986,1816.120502460598,1831.1474782193961,1,1,19
0.6,20260930,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.6, 0.593, 0.619, 0.563, 0.525, 0.525, 0.613, 0.642, 0.706, 0.616, 0.657, 0.757, 0.75, 0.824, 0.841, 0.746, 0.654, 0.727, 0.662, 0.669, 0.584, 0.559, 0.523, 0.592, 0.649, 0.736, 0.816, 0.765, 0.666]",18869.02299229755,18869.02299229755,19097.583942972477,0.0,-228.56095067492788,-228.56095067492788,1794.107030205593,1794.107030205593,1835.4819807754777,0,1,19
0.65,20260980,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.65, 0.584, 0.553, 0.581, 0.588, 0.544, 0.45, 0.516, 0.5, 0.54, 0.499, 0.555, 0.566, 0.661, 0.719, 0.761, 0.755, 0.782, 0.718, 0.738, 0.781, 0.717, 0.814, 0.802, 0.801, 0.79, 0.815, 0.833, 0.911]",18899.364567272976,18761.107509969846,18719.546477670337,138.25705730312984,179.8180896026388,41.56103229950895,1792.1093835352026,1823.3631214683319,1838.4334817548984,1,1,19
0.7,20261030,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.7, 0.709, 0.721, 0.794, 0.701, 0.76, 0.778, 0.73, 0.684, 0.652, 0.635, 0.731, 0.661, 0.578, 0.535, 0.57, 0.654, 0.642, 0.625, 0.59, 0.685, 0.682, 0.661, 0.716, 0.653, 0.676, 0.637, 0.718, 0.693]",18917.144212150295,18917.144212150295,19136.384580879716,0.0,-219.24036872942088,-219.24036872942088,1792.0430284978188,1792.0430284978188,1833.8561112906114,0,1,19
0.75,20261080,"{""M1"": {""D1"": 1.0, ""D2"": 6.0}, ""M2"": {""D1"": 2.2, ""D2"": 1.8}}","[0.05, 0.75, 0.757, 0.696, 0.775, 0.755, 0.733, 0.709, 0.805, 0.718, 0.799, 0.763, 0.682, 0.741, 0.757, 0.723, 0.636, 0.66, 0.635, 0.674, 0.746, 0.711, 0.681, 0.729, 0.71, 0.79, 0.734, 0.816, 0.748, 0.749]",19090.82409024163,19090.82409024163,19080.05332842079,0.0,10.770761820840562,10.770761820840562,1783.2566970258765,1783.2566970258765,1831.5189726473607,0,1,19
