t2_tariff,n_replications,first_path_seed,mean_reset_count,std_reset_count,jo_kc_series_mean,jo_kc_series_std,total_A,std_total_A,total_B,std_total_B,total_C,std_total_C,gap_A_minus_B,gap_A_minus_C,gap_B_minus_C,demand_A,std_demand_A,demand_B,std_demand_B,demand_C,std_demand_C,activation_B,std_activation_B,activation_C,std_activation_C,withdrawal_C,std_withdrawal_C
0.05,1000,25260331,0.166,0.37475858896094694,"[0.05, 0.05, 0.181729, 0.277137, 0.369209, 0.43955700000000003, 0.490615, 0.549293, 0.600522, 0.6356900000000001, 0.684787, 0.708232, 0.757559, 0.775474, 0.779692, 0.815856, 0.8171889999999999, 0.823476, 0.838014, 0.8949969999999999, 0.9077029999999999, 0.918147, 0.9102509999999999, 0.929629, 0.93531, 0.942193, 0.962472, 0.974657, 0.973844, 0.9662820000000001]","[0.0, 0.0, 0.2413362417023187, 0.33330474378712344, 0.41868858513100166, 0.47211228616823775, 0.5105174911548085, 0.5596716136726965, 0.592756512841487, 0.6218725350905924, 0.6621738424545325, 0.6726162934214425, 0.6933085579444408, 0.7160331454087863, 0.7310038625999181, 0.7740902306992383, 0.780893391750116, 0.7742066219194976, 0.7698269518560649, 0.7965274879067263, 0.8191597358214087, 0.8125581427756416, 0.7966967089168876, 0.8231571364927841, 0.8129253421440372, 0.8060138173449634, 0.835482413469009, 0.847844789658461, 0.8402894499302012, 0.8310956602437531]",16113.341597219058,1294.2271158081974,15700.83461097615,951.1960264777629,17120.382929427695,976.95686475536,412.50698624290817,-1007.041332208637,-1419.5483184515451,1801.430910802027,46.7627981582169,1817.056871762187,31.611478219360926,1844.4702287244934,18.687077965973106,1.267,3.8225267821167717,1.945,0.22798026230355994,19.945,0.22798026230355994
0.1,1000,30260331,0.179,0.38853442575915975,"[0.05, 0.1, 0.199297, 0.287725, 0.370321, 0.445514, 0.496499, 0.554373, 0.61501, 0.685326, 0.738768, 0.765317, 0.784149, 0.7903819999999999, 0.796828, 0.812241, 0.832214, 0.858272, 0.866543, 0.8810220000000001, 0.909629, 0.885751, 0.89125, 0.921925, 0.937187, 0.939913, 0.954839, 0.970921, 0.962782, 0.9484819999999999]","[0.0, 0.0, 0.25453141415353825, 0.3319839685511938, 0.4193269726108732, 0.46668641056281035, 0.5179319067203719, 0.5606981735934227, 0.6112408886028486, 0.645201421049272, 0.6821530973146718, 0.7092590954728745, 0.7321317291300794, 0.7181657650403561, 0.722782833509485, 0.7475982724157406, 0.7544147481352681, 0.766660442448937, 0.785096298648134, 0.792278722114888, 0.796103029361778, 0.7754490692489094, 0.7775218180218482, 0.7877203281463543, 0.7861227270795572, 0.8019101093208639, 0.8236176510244302, 0.8226280670868215, 0.836650301186822, 0.8198618979291573]",16146.978791498464,1246.327610333108,15761.558361323878,943.7314638372375,17166.93857327187,971.1760497060749,385.4204301745867,-1019.9597817734048,-1405.3802119479915,1799.4608692263307,45.3036017649793,1814.2708094952873,31.71424420544512,1843.3194591845897,18.291249623587817,1.025,3.191923401336567,1.939,0.23933031567271204,19.939,0.23933031567271204
0.15,1000,35260331,0.184,0.39261176752614024,"[0.05, 0.15, 0.235156, 0.303644, 0.37115, 0.434264, 0.51887, 0.577836, 0.6431140000000001, 0.689817, 0.728997, 0.772497, 0.802157, 0.821195, 0.843923, 0.844778, 0.849936, 0.887308, 0.905091, 0.926778, 0.9224260000000001, 0.935114, 0.900962, 0.905076, 0.9003089999999999, 0.905081, 0.925827, 0.9327799999999999, 0.938902, 0.936404]","[0.0, 0.0, 0.2706863972644359, 0.3474991298751696, 0.4145686716335425, 0.4799709431871892, 0.5533215765718883, 0.5907327459215377, 0.6214399512454925, 0.6586279856724887, 0.6912986178136045, 0.7219534320099877, 0.7505216441589143, 0.7520378108679111, 0.7693035558679031, 0.7498028025527779, 0.7503773063626058, 0.792094655414364, 0.8096979478293125, 0.8331696182146826, 0.8591816714316013, 0.8785074746432155, 0.8354042916791845, 0.8219142012546078, 0.8137505904876506, 0.8111010506952879, 0.812897814655077, 0.8175877614054653, 0.8325313197688121, 0.8395307884669865]",16188.384117448708,1355.3477904954193,15744.823621236013,991.9556951144249,17184.54889961694,981.8649990182452,443.5604962126945,-996.1647821682327,-1439.7252783809272,1799.216937909262,48.81769401380053,1815.0506801562299,33.767059872119155,1842.1851925495482,19.125158187658627,1.177,3.386985532889091,1.936,0.24475293665245368,19.936,0.24475293665245368
0.2,1000,40260331,0.188,0.3907121702737195,"[0.05, 0.2, 0.28523000000000004, 0.371421, 0.441104, 0.509463, 0.569593, 0.59877, 0.6363289999999999, 0.6840620000000001, 0.741637, 0.792182, 0.8099529999999999, 0.8464980000000001, 0.8720370000000001, 0.880447, 0.892492, 0.907431, 0.92215, 0.9037419999999999, 0.909402, 0.8989199999999999, 0.945117, 0.938902, 0.951048, 0.968328, 0.9565309999999999, 0.92257, 0.923706, 0.934621]","[0.0, 0.0, 0.3013166824123749, 0.39720054350290107, 0.45157741660096334, 0.508250995700943, 0.5467573642403, 0.5789849143976032, 0.6341774379138696, 0.6805131197530288, 0.7108061347730477, 0.7268048451104326, 0.7400973671017889, 0.752018644713015, 0.7744407334528576, 0.7584286961811242, 0.7654920874417971, 0.7699272817864036, 0.7897763781602992, 0.7723159777163748, 0.7764902268515683, 0.766011682417442, 0.8006565489090812, 0.7950972735433067, 0.7835567520582029, 0.8015166326508765, 0.7977412168360113, 0.7764599455863773, 0.7843366455572505, 0.8168697260634648]",16266.870866617206,1271.0582558027452,15860.239853665553,956.9072248014886,17228.418412455427,951.6028139781126,406.63101295165325,-961.5475458382207,-1368.178558789874,1794.3253993667197,46.59148458063016,1809.8434497163216,32.87441926127322,1840.2618599025311,18.769761195704618,0.951,2.925508331897211,1.904,0.2945912422323515,19.904,0.2945912422323515
0.25,1000,45260331,0.173,0.3834983702703311,"[0.05, 0.25, 0.30404000000000003, 0.368329, 0.439901, 0.492302, 0.563822, 0.614653, 0.644467, 0.684691, 0.717314, 0.734998, 0.7722, 0.801176, 0.813629, 0.82052, 0.862383, 0.867005, 0.8805109999999999, 0.895832, 0.926039, 0.921307, 0.9280510000000001, 0.935552, 0.9494389999999999, 0.97026, 0.973155, 0.977082, 0.959005, 0.944332]","[0.0, 0.0, 0.2993158772935375, 0.3811247942065696, 0.4347380351418541, 0.4928541496183227, 0.5466971596011817, 0.5949732015738188, 0.632998711618752, 0.6511001286430529, 0.6705823927035365, 0.6937762622027364, 0.7007681299830922, 0.7314918776199774, 0.723278670609745, 0.7282213328377575, 0.7508412217712876, 0.753982843952699, 0.7644090501027575, 0.7717309568599668, 0.7921147716581228, 0.7918769176778674, 0.782676239832921, 0.7821829308390716, 0.787555800104983, 0.8203663123263899, 0.8127499510765903, 0.8127599001402567, 0.8212985139247483, 0.8265216172466392]",16243.776557894527,1301.741433784472,15816.767713232031,952.8067930170737,17235.568774801366,967.8429748072191,427.0088446624959,-991.7922169068388,-1418.8010615693347,1794.9304400194874,47.61449832086642,1810.573856227097,32.66678247637236,1840.6754259248737,18.52125628678705,0.853,2.7153988657285693,1.915,0.2788816953476868,19.915,0.2788816953476868
0.3,1000,50260331,0.188,0.39831645710414726,"[0.05, 0.3, 0.340217, 0.409057, 0.464928, 0.52577, 0.576828, 0.621308, 0.68326, 0.743255, 0.7715259999999999, 0.8134, 0.840481, 0.85785, 0.885691, 0.895849, 0.9018379999999999, 0.895442, 0.904158, 0.917985, 0.902453, 0.893909, 0.909573, 0.896261, 0.914508, 0.948525, 0.943293, 0.9263170000000001, 0.9584969999999999, 0.987426]","[0.0, 0.0, 0.29828604377509854, 0.3924953346869234, 0.467072312191592, 0.5142625721360636, 0.5646991893176402, 0.6091839682197817, 0.6534624996126404, 0.7022055995041623, 0.7285012884847906, 0.7597181490526602, 0.7541682237001238, 0.7630234173994924, 0.7729738233077496, 0.7823410497979766, 0.7921548344585168, 0.7926370850748784, 0.7877105477496159, 0.7975739067791774, 0.8082270842968577, 0.8046556982455291, 0.7818202150565051, 0.7619749397972351, 0.7857471895819927, 0.7823815868072306, 0.7752342376024165, 0.7652714685070913, 0.8005953172427378, 0.8282072461189892]",16320.428588990957,1340.9519928186753,15856.716718116275,995.4039838439371,17207.33296205424,993.9165591577752,463.71187087468206,-886.904373063282,-1350.616243937964,1792.6533522321342,48.306808860016986,1810.26199283991,32.91837744392157,1838.702200891676,19.686167706478564,1.042,2.8580125961933756,1.896,0.3052605444534226,19.896,0.3052605444534226
0.35,1000,55260331,0.19,0.3998749804626441,"[0.05, 0.35, 0.380056, 0.43625600000000003, 0.504722, 0.55523, 0.592808, 0.650131, 0.694126, 0.733394, 0.785999, 0.8146559999999999, 0.837493, 0.852795, 0.8608680000000001, 0.890852, 0.916818, 0.898555, 0.9204829999999999, 0.924907, 0.9323049999999999, 0.955681, 0.922255, 0.917588, 0.931589, 0.931646, 0.957058, 0.9480660000000001, 0.953477, 0.947723]","[0.0, 0.0, 0.30545747144897273, 0.4106613160062681, 0.4766957297018718, 0.5249444552521724, 0.5564679174363963, 0.5935136677777522, 0.6518946679671495, 0.690331903336359, 0.7189441904619579, 0.7269915994452756, 0.7311328688761024, 0.7349352277411936, 0.7403007298226849, 0.7644897292285882, 0.7932720774589258, 0.8094310044562167, 0.803518380443783, 0.8039046500369307, 0.7884968129136605, 0.8028517828584552, 0.7844655594575201, 0.7829908174787237, 0.7967682499190087, 0.7827370520704894, 0.7962845186464446, 0.7905947467849758, 0.8092977767614341, 0.816615433524863]",16363.500530442516,1340.1054846103586,15918.719262642413,1000.496486505839,17275.93425103438,956.992302041329,444.7812678001028,-912.4337205918655,-1357.2149883919683,1790.64813889413,48.614187285000355,1808.0460892250053,33.27503155085932,1837.654373800014,19.589105588612988,0.886,2.7797489095240238,1.88,0.32496153618543844,19.88,0.32496153618543844
0.4,1000,60260331,0.193,0.3996886288099775,"[0.05, 0.4, 0.431892, 0.476114, 0.531511, 0.578303, 0.614719, 0.644116, 0.666775, 0.699606, 0.737103, 0.770509, 0.806179, 0.833311, 0.859189, 0.858817, 0.85665, 0.865571, 0.8738940000000001, 0.8825660000000001, 0.8690209999999999, 0.874154, 0.9098869999999999, 0.908049, 0.916199, 0.9071509999999999, 0.8902559999999999, 0.900121, 0.9129980000000001, 0.901494]","[0.0, 0.0, 0.33392862760775693, 0.4304394626471881, 0.4872817766744412, 0.5375764403236064, 0.5772732542210838, 0.6114348849583249, 0.6415008077742381, 0.6567875126431684, 0.6779007644124617, 0.6915084843434678, 0.7360574060214325, 0.7429919341951162, 0.7639274541990227, 0.773543927331215, 0.7652094755686184, 0.7803385207453237, 0.7730236637800941, 0.7903239409533284, 0.7859488256616967, 0.7920771252119329, 0.8152745502166739, 0.8103641629532984, 0.7909295021675447, 0.7731846688851247, 0.779980364152842, 0.7980711724896471, 0.7925878891302844, 0.8066692878522151]",16297.387048342285,1312.3524272780596,15901.921411245248,1004.6718085121981,17348.18397655316,969.2828960993759,395.46563709703696,-1050.7969282108734,-1446.2625653079103,1793.1554631298027,47.17926419988414,1808.9701907658728,32.73804046200284,1837.7583539661853,19.271392602946875,0.723,2.391708803345424,1.874,0.331849363416596,19.874,0.331849363416596
0.45,1000,65260331,0.211,0.4177068349931564,"[0.05, 0.45, 0.481188, 0.50736, 0.554723, 0.612031, 0.6642619999999999, 0.697784, 0.74227, 0.763102, 0.806235, 0.83596, 0.848369, 0.870197, 0.897279, 0.881145, 0.886247, 0.906374, 0.909905, 0.927292, 0.937058, 0.936984, 0.919567, 0.9258780000000001, 0.953062, 0.9624729999999999, 0.959275, 0.959507, 0.953058, 0.934363]","[0.0, 0.0, 0.3376301536533726, 0.41362982532694614, 0.47926302827466255, 0.5372066939633199, 0.5928107972667165, 0.6346213243691076, 0.6767523868447012, 0.7107908226728874, 0.743344291546656, 0.7394303228837724, 0.7501953724457383, 0.7602425666792145, 0.7736205317589496, 0.7787565562966389, 0.7833993617504421, 0.7855030974630208, 0.7815013230794942, 0.8004345449416835, 0.8064097969618177, 0.8066811586643139, 0.7790543520904045, 0.7844798972032362, 0.7963051677315676, 0.824357696192011, 0.8269413953691035, 0.831760013435967, 0.8263803498607648, 0.8280831294205915]",16446.48851823747,1396.5221475523238,15964.429778347136,1015.8925154666142,17319.210116651862,983.1268555979341,482.05873989033535,-872.7215984143913,-1354.7803383047267,1787.7901574147756,49.63328811274724,1806.4277122856533,32.947492644840125,1835.6405128601136,19.97567703183176,0.676,2.282766742354549,1.8,0.4,19.8,0.4
0.5,1000,70260331,0.228,0.4312957222138889,"[0.05, 0.5, 0.510239, 0.5419299999999999, 0.5821000000000001, 0.6205080000000001, 0.666552, 0.722846, 0.775116, 0.809596, 0.84302, 0.857362, 0.8741180000000001, 0.891788, 0.897257, 0.8986559999999999, 0.91403, 0.9071319999999999, 0.93231, 0.940092, 0.94924, 0.959395, 0.968237, 0.985155, 0.9560700000000001, 0.975893, 0.961641, 0.967761, 0.9615520000000001, 0.967678]","[0.0, 0.0, 0.3453957959776002, 0.4447922246397749, 0.49558201944784075, 0.5532527233877842, 0.6092608696576532, 0.6489296034886989, 0.6927672744464767, 0.721525430448574, 0.7523309348950101, 0.7575111899873163, 0.7557117466838794, 0.7754285054445703, 0.7834515128270543, 0.7993300154904731, 0.7996671827079063, 0.7801669619869839, 0.8147386696972226, 0.8059177027066722, 0.7971488809501021, 0.8061687112354337, 0.8247139169621185, 0.8107239770569266, 0.8141275877281152, 0.8309425031559043, 0.8163823651445443, 0.808536030043807, 0.795666384420003, 0.798940046759455]",16523.79233118909,1387.7599467429598,16030.53893393543,1011.560765233996,17322.107221823473,962.3994862540347,493.2533972536621,-798.3148906343813,-1291.5682878880434,1785.1147871551673,49.19317787240515,1804.5988535597664,32.525149040697364,1834.5222832978368,19.831459849887956,0.717,2.401855740880372,1.758,0.42829429134649927,19.758,0.42829429134649927
