iter,avg_cost,avg_reward,steps
0,38535.264024930264,-38535.264024930264,200.0
1,38880.23837595588,-38880.23837595588,200.0
2,38617.91123231609,-38617.91123231609,200.0
3,38832.26890748058,-38832.26890748058,200.0
4,38850.786015364225,-38850.786015364225,200.0
5,38957.87354170964,-38957.87354170964,200.0
6,38594.82661119515,-38594.82661119515,200.0
7,38541.71408311701,-38541.71408311701,200.0
8,38717.32064955527,-38717.32064955527,200.0
9,38543.568887963134,-38543.568887963134,200.0
10,38196.907561135726,-38196.907561135726,200.0
11,38536.03922974303,-38536.03922974303,200.0
12,38838.06770949603,-38838.06770949603,200.0
13,38561.415441920064,-38561.415441920064,200.0
14,38726.23135814029,-38726.23135814029,200.0
15,38789.140891078874,-38789.140891078874,200.0
16,38906.994327797205,-38906.994327797205,200.0
17,38537.1306431759,-38537.1306431759,200.0
18,38568.474343773545,-38568.474343773545,200.0
19,38902.45304253178,-38902.45304253178,200.0
