iter,avg_cost,avg_reward,steps
0,24305.14218265796,-24305.14218265796,200.0
1,24245.38222666656,-24245.38222666656,200.0
2,24002.51082915649,-24002.51082915649,200.0
3,23947.845870623678,-23947.845870623678,200.0
4,23739.671377648887,-23739.671377648887,200.0
5,24081.329551013692,-24081.329551013692,200.0
6,24859.341013946472,-24859.341013946472,200.0
7,24403.169318247332,-24403.169318247332,200.0
8,23998.983492329455,-23998.983492329455,200.0
9,24359.10174505929,-24359.10174505929,200.0
10,24469.00361584175,-24469.00361584175,200.0
11,23939.522639093244,-23939.522639093244,200.0
12,24384.39070469545,-24384.39070469545,200.0
13,24570.08627954949,-24570.08627954949,200.0
14,24050.952281319423,-24050.952281319423,200.0
15,24010.61199072387,-24010.61199072387,200.0
16,24434.97373722022,-24434.97373722022,200.0
17,23650.46168760297,-23650.46168760297,200.0
18,24854.67997045434,-24854.67997045434,200.0
19,23966.439532883644,-23966.439532883644,200.0
